Round	Timestamp	Name	Alliance	Best Attacker	Attack Point	Best Defender	Defense Point
709	2024-03-12 16:28:12	Nox		Nox	994,107,149,815,064,809,177,088	trend	178,925,020,730,368,968,359,936
708	2024-03-12 14:50:30	Nox		Nox	994,107,149,815,064,809,177,088	trend	178,925,020,730,368,968,359,936
707	2024-03-09 11:41:22	trend	REY	trend	171,893,304,736,190,606,344,192	trend	100,555,952,706,295,955,456,000
706	2024-03-06 00:37:10	xtrendx		xtrendx	378,326,640,368,066,788,065,280	xtrendx	1,010,616,787,726,780,103,393,280
705	2024-03-05 22:43:22	xtrendx		xtrendx	378,326,640,368,066,788,065,280	xtrendx	1,010,616,787,726,780,103,393,280
704	2024-03-02 20:00:06	trend	REY	trend	33,460,094,831,178,635,280,384	trend	4,968,859,183,944,990,457,856
703	2024-02-28 17:21:28	trend		trend	99,015,332,439,687,761,494,016	trend	28,128,102,695,149,762,510,848
702	2024-02-25 13:49:57	cerberus		Dillonator	426,162,589,117,871,883,812,864	cerberus	407,000,406,375,560,208,449,536
701	2024-02-22 11:11:15	Trendx	REY	Trendx	35,559,311,323,753,940,516,864	Nishnek	23,848,255,127,108,536,238,080
700	2024-02-19 08:26:55	Trendx	REY	Trendx	181,499,285,217,401,714,507,776	Trendx	52,330,244,328,896,933,658,624
699	2024-02-16 05:48:29	trend		trend	267,358,122,869,521,274,372,096	trend	155,866,104,040,061,646,405,632
698	2024-02-12 18:30:42	Nishnek		hasan	255,759,343,414,605,795,819,520	trend	131,077,105,576,072,766,816,256
697	2024-02-12 18:27:24	Nishnek		hasan	255,759,343,414,605,795,819,520	trend	131,077,105,576,072,766,816,256
696	2024-02-09 15:30:06	jeeves		Nox	1,389,172,809,699,397,161,975,808	Nox	1,013,769,235,430,940,564,520,960
695	2024-02-06 12:48:58	trend	ESP	Palidin	25,998,188,762,440,262,483,968	Palidin	1,191,842,049,398,223,667,200
694	2024-02-03 01:02:59	Nox		Nox	768,717,155,987,405,074,857,984	Nox	183,149,513,675,103,505,743,872
693	2024-01-30 13:13:11	Jeeves		Jeeves	186,177,462,074,609,611,309,056	Jeeves	41,019,615,084,426,416,881,664
692	2024-01-27 01:26:51	Nox	L´M	shark	54,396,602,302,402,712,829,952	shark	41,705,192,858,023,486,291,968
691	2024-01-27 01:01:53	Nox	L´M	shark	54,396,602,302,402,712,829,952	shark	41,705,192,858,023,486,291,968
690	2024-01-21 20:57:22	trend	EL REY	trend	155,359,327,273,090,449,408	trend	7,868,072,662,285,460,480
699	2024-02-16 05:48:29	trend		trend	267,358,122,869,521,274,372,096	trend	155,866,104,040,061,646,405,632
698	2024-02-12 18:30:42	Nishnek		hasan	255,759,343,414,605,795,819,520	trend	131,077,105,576,072,766,816,256
697	2024-02-12 18:27:24	Nishnek		hasan	255,759,343,414,605,795,819,520	trend	131,077,105,576,072,766,816,256
696	2024-02-09 15:30:06	jeeves		Nox	1,389,172,809,699,397,161,975,808	Nox	1,013,769,235,430,940,564,520,960
695	2024-02-06 12:48:58	trend	ESP	Palidin	25,998,188,762,440,262,483,968	Palidin	1,191,842,049,398,223,667,200
694	2024-02-03 01:02:59	Nox		Nox	768,717,155,987,405,074,857,984	Nox	183,149,513,675,103,505,743,872
693	2024-01-30 13:13:11	Jeeves		Jeeves	186,177,462,074,609,611,309,056	Jeeves	41,019,615,084,426,416,881,664
692	2024-01-27 01:26:51	Nox	L´M	shark	54,396,602,302,402,712,829,952	shark	41,705,192,858,023,486,291,968
691	2024-01-27 01:01:53	Nox	L´M	shark	54,396,602,302,402,712,829,952	shark	41,705,192,858,023,486,291,968
690	2024-01-21 20:57:22	trend	EL REY	trend	155,359,327,273,090,449,408	trend	7,868,072,662,285,460,480
689	2024-01-18 17:59:57	Maluko	SHARK	Maluko	242,069,482,660,865,628,962,816	Maluko	17,129,684,905,416,032,518,144
688	2024-01-15 06:35:06	C0NA	PILA	Snake	60,207,560,185,963,995,987,968	Snake	14,086,231,961,132,943,278,080
687	2024-01-11 18:54:37	C0NA	BAR™	Snake	169,975,956,853,298,286,297,088	Snake	15,494,466,497,506,533,441,536
686	2024-01-07 12:25:10	C0NA	BAR™	Snake	171,123,156,489,240,213,192,704	Snake	75,848,013,507,225,886,654,464
685	2024-01-07 06:48:54	C0NA	BAR™	Snake	171,123,156,489,240,213,192,704	Snake	75,848,013,507,225,886,654,464
684	2024-01-03 19:05:50	C0N4|FirstWinne	BAR™	SHARK	362,926,771,619,975,982,481,408	SHARK	56,412,691,181,240,477,286,400
683	2023-12-30 23:13:55	C0NA	BAR™	Snake	64,221,002,627,920,772,988,928	Snake	37,060,781,992,201,016,049,664
682	2023-12-30 17:25:10	C0NA	BAR™	Snake	64,221,002,627,920,772,988,928	Snake	37,060,781,992,201,016,049,664
681	2023-12-27 02:14:48	C0NA	BAR™	3Kafadar	43,515,275,604,967,144,030,208	3Kafadar	27,119,108,579,789,398,605,824
680	2023-12-23 11:25:15	C0NA	AA-S	Smoker	90,172,752,137,493,319,516,160	Smoker	21,497,758,698,023,558,316,032
689	2024-01-18 17:59:57	Maluko	SHARK	Maluko	242,069,482,660,865,628,962,816	Maluko	17,129,684,905,416,032,518,144
688	2024-01-15 06:35:06	C0NA	PILA	Snake	60,207,560,185,963,995,987,968	Snake	14,086,231,961,132,943,278,080
687	2024-01-11 18:54:37	C0NA	BAR™	Snake	169,975,956,853,298,286,297,088	Snake	15,494,466,497,506,533,441,536
686	2024-01-07 12:25:10	C0NA	BAR™	Snake	171,123,156,489,240,213,192,704	Snake	75,848,013,507,225,886,654,464
685	2024-01-07 06:48:54	C0NA	BAR™	Snake	171,123,156,489,240,213,192,704	Snake	75,848,013,507,225,886,654,464
684	2024-01-03 19:05:50	C0N4|FirstWinne	BAR™	SHARK	362,926,771,619,975,982,481,408	SHARK	56,412,691,181,240,477,286,400
683	2023-12-30 23:13:55	C0NA	BAR™	Snake	64,221,002,627,920,772,988,928	Snake	37,060,781,992,201,016,049,664
682	2023-12-30 17:25:10	C0NA	BAR™	Snake	64,221,002,627,920,772,988,928	Snake	37,060,781,992,201,016,049,664
681	2023-12-27 02:14:48	C0NA	BAR™	3Kafadar	43,515,275,604,967,144,030,208	3Kafadar	27,119,108,579,789,398,605,824
680	2023-12-23 11:25:15	C0NA	AA-S	Smoker	90,172,752,137,493,319,516,160	Smoker	21,497,758,698,023,558,316,032
679	2023-12-23 01:47:38	C0NA	AA-S	Smoker	90,172,752,137,493,319,516,160	Smoker	21,497,758,698,023,558,316,032
678	2023-12-19 12:43:14	C0NA	PT™	R3zando	798,862,413,510,668,428,771,328	R3zando	31,478,654,269,433,466,322,944
677	2023-12-12 22:32:14	C0NA	PT™	alligator	160,514,857,002,364,626,272,256	alligator	46,766,611,617,072,015,212,544
676	2023-12-09 10:55:10	C0NA	PT™	Snake	115,012,590,803,128,734,973,952	Snake	14,776,193,213,259,627,626,496
675	2023-12-09 02:50:09	C0NA	PT™	Snake	115,012,590,803,128,734,973,952	Snake	14,776,193,213,259,627,626,496
674	2023-12-05 15:33:22	C0NA	PT™	Snake	259,864,486,439,438,098,890,752	Snake	59,287,280,597,929,331,523,584
673	2023-12-05 14:26:43	C0NA	PT™	Snake	259,864,486,439,438,098,890,752	Snake	59,287,280,597,929,331,523,584
672	2023-12-05 14:09:44	C0NA	PT™	Snake	259,864,486,439,438,098,890,752	Snake	59,287,280,597,929,331,523,584
671	2023-12-02 02:08:05	C0NA	PT™	SHARK	160,716,754,861,183,551,406,080	SHARK	59,937,753,247,969,479,491,584
670	2023-12-02 00:22:10	C0NA	PT™	SHARK	160,716,754,861,183,551,406,080	SHARK	59,937,753,247,969,479,491,584
679	2023-12-23 01:47:38	C0NA	AA-S	Smoker	90,172,752,137,493,319,516,160	Smoker	21,497,758,698,023,558,316,032
678	2023-12-19 12:43:14	C0NA	PT™	R3zando	798,862,413,510,668,428,771,328	R3zando	31,478,654,269,433,466,322,944
677	2023-12-12 22:32:14	C0NA	PT™	alligator	160,514,857,002,364,626,272,256	alligator	46,766,611,617,072,015,212,544
676	2023-12-09 10:55:10	C0NA	PT™	Snake	115,012,590,803,128,734,973,952	Snake	14,776,193,213,259,627,626,496
675	2023-12-09 02:50:09	C0NA	PT™	Snake	115,012,590,803,128,734,973,952	Snake	14,776,193,213,259,627,626,496
674	2023-12-05 15:33:22	C0NA	PT™	Snake	259,864,486,439,438,098,890,752	Snake	59,287,280,597,929,331,523,584
673	2023-12-05 14:26:43	C0NA	PT™	Snake	259,864,486,439,438,098,890,752	Snake	59,287,280,597,929,331,523,584
672	2023-12-05 14:09:44	C0NA	PT™	Snake	259,864,486,439,438,098,890,752	Snake	59,287,280,597,929,331,523,584
671	2023-12-02 02:08:05	C0NA	PT™	SHARK	160,716,754,861,183,551,406,080	SHARK	59,937,753,247,969,479,491,584
670	2023-12-02 00:22:10	C0NA	PT™	SHARK	160,716,754,861,183,551,406,080	SHARK	59,937,753,247,969,479,491,584
669	2023-12-01 21:28:53	C0NA	PT™	SHARK	160,716,754,861,183,551,406,080	SHARK	59,937,753,247,969,479,491,584
668	2023-11-28 09:18:38	C0NA	PT™	maluko	230,263,726,556,283,016,314,880	maluko	59,459,419,358,518,812,082,176
667	2023-11-28 08:08:20	C0NA	PT™	maluko	230,263,726,556,283,016,314,880	maluko	59,459,419,358,518,812,082,176
666	2023-11-28 03:10:21	C0NA	PT™	maluko	230,263,726,556,283,016,314,880	maluko	59,459,419,358,518,812,082,176
665	2023-11-28 03:05:30	C0NA	PT™	maluko	230,263,726,556,283,016,314,880	maluko	59,459,419,358,518,812,082,176
664	2023-11-28 03:00:33	C0NA	PT™	maluko	230,263,726,556,283,016,314,880	maluko	59,459,419,358,518,812,082,176
663	2023-11-24 15:04:13	C0NA	ς๏ภค	maluko	325,558,567,019,317,743,845,376	maluko	109,634,539,748,616,411,545,600
662	2023-11-24 13:25:17	C0NA	ς๏ภค	maluko	325,558,567,019,317,743,845,376	maluko	109,634,539,748,616,411,545,600
661	2023-11-21 00:02:22	C0NA	Cona	maluko	164,589,328,982,140,709,240,832	maluko	54,678,433,774,345,889,251,328
660	2023-11-20 23:54:42	C0NA	Cona	maluko	164,589,328,982,140,709,240,832	maluko	54,678,433,774,345,889,251,328
669	2023-12-01 21:28:53	C0NA	PT™	SHARK	160,716,754,861,183,551,406,080	SHARK	59,937,753,247,969,479,491,584
668	2023-11-28 09:18:38	C0NA	PT™	maluko	230,263,726,556,283,016,314,880	maluko	59,459,419,358,518,812,082,176
667	2023-11-28 08:08:20	C0NA	PT™	maluko	230,263,726,556,283,016,314,880	maluko	59,459,419,358,518,812,082,176
666	2023-11-28 03:10:21	C0NA	PT™	maluko	230,263,726,556,283,016,314,880	maluko	59,459,419,358,518,812,082,176
665	2023-11-28 03:05:30	C0NA	PT™	maluko	230,263,726,556,283,016,314,880	maluko	59,459,419,358,518,812,082,176
664	2023-11-28 03:00:33	C0NA	PT™	maluko	230,263,726,556,283,016,314,880	maluko	59,459,419,358,518,812,082,176
663	2023-11-24 15:04:13	C0NA	ς๏ภค	maluko	325,558,567,019,317,743,845,376	maluko	109,634,539,748,616,411,545,600
662	2023-11-24 13:25:17	C0NA	ς๏ภค	maluko	325,558,567,019,317,743,845,376	maluko	109,634,539,748,616,411,545,600
661	2023-11-21 00:02:22	C0NA	Cona	maluko	164,589,328,982,140,709,240,832	maluko	54,678,433,774,345,889,251,328
660	2023-11-20 23:54:42	C0NA	Cona	maluko	164,589,328,982,140,709,240,832	maluko	54,678,433,774,345,889,251,328
659	2023-11-17 12:35:50	maluko	maluko	C0NA	13,100,856,841,686,795,419,648	Jeeves	16,092,562,814,487,014,408,192
658	2023-11-14 01:40:42	C0N4	maluko	maluko	75,361,212,244,488,274,051,072	maluko	18,979,289,641,697,213,939,712
657	2023-11-14 01:38:41	C0N4	maluko	maluko	75,361,212,244,488,274,051,072	maluko	18,979,289,641,697,213,939,712
656	2023-11-09 04:05:59	C0NA	૮0ทα	ma1uko	128,425,864,553,161,019,097,088	ma1uko	41,892,743,508,010,054,189,056
655	2023-11-05 04:56:59	C0NA	ς๏ภค	DrOg4s	48,015,235,534,591,868,534,784	DrOg4s	13,085,250,505,734,700,924,928
654	2023-11-01 02:13:11	CON4	C0N4	ANGEL	172,683,737,534,225,132,290,048	ANGEL	32,200,362,759,438,687,272,960
653	2023-11-01 01:44:38	CON4	C0N4	ANGEL	172,683,737,534,225,132,290,048	ANGEL	32,200,362,759,438,687,272,960
652	2023-10-27 00:13:17	C0N4	PUSSY	Laipsnis	125,367,637,979,992,814,518,272	Laipsnis	46,329,635,207,965,409,542,144
